dataset,method,feature,score,rank
finance,variance,num__loan_to_income,1.000000000000001,3
finance,variance,num__annual_income,1.0000000000000004,4
finance,variance,num__credit_score,1.0000000000000002,5
finance,variance,num__employment_years,1.0,6
finance,variance,num__utilization_ratio,0.9999999999999997,7
finance,variance,num__loan_amount,0.9999999999999994,8
finance,variance,num__open_credit_lines,0.9999999999999984,9
finance,variance,num__savings_balance,0.9999999999999978,10
finance,variance,cat__housing_status_rent,0.24580449380165592,11
finance,variance,cat__housing_status_mortgage,0.2442032541322327,12
finance,variance,cat__purpose_consumer,0.23380165289255922,13
finance,variance,cat__employment_type_salaried,0.23232308884297406,14
finance,variance,cat__purpose_car,0.19834710743801687,15
finance,variance,cat__employment_type_self_employed,0.18168904958677431,16
finance,variance,cat__previous_default_yes,0.17374870867768566,17
finance,variance,cat__previous_default_no,0.17374870867768566,18
finance,variance,cat__purpose_education,0.14730888429751898,19
finance,variance,cat__purpose_home_improvement,0.14437500000000095,20
finance,variance,cat__housing_status_own,0.12105371900826602,21
finance,variance,cat__employment_type_unemployed,0.11192019628099031,22
medical,abs_correlation,num__age,0.2600772781681985,1
medical,abs_correlation,num__cholesterol,0.22448955746014032,2
medical,abs_correlation,num__systolic_bp,0.18282105504934573,3
medical,abs_correlation,num__physical_activity_hours,0.14721556735312713,4
medical,abs_correlation,num__stress_level,0.10305524175417592,5
medical,abs_correlation,cat__smoking_status_never,0.10234321810062201,6
medical,abs_correlation,cat__smoking_status_former,0.09240800296938427,7
medical,abs_correlation,num__glucose,0.05576768541245071,8
medical,abs_correlation,num__resting_heart_rate,0.052681237824498225,9
medical,abs_correlation,num__alcohol_units_weekly,0.050183369734705545,10
medical,abs_correlation,cat__sex_male,0.048228027595513805,11
medical,abs_correlation,cat__sex_female,0.048228027595513805,12
medical,abs_correlation,num__bmi,0.0442879324506281,13
medical,abs_correlation,cat__smoking_status_current,0.02901781817168567,14
medical,abs_correlation,num__diastolic_bp,0.012871128450489294,15
medical,abs_correlation,cat__family_history_no,0.010820765971466646,16
medical,abs_correlation,cat__family_history_yes,0.010820765971466646,17
medical,f_classif,num__age,52.0889643419707,1
medical,f_classif,num__cholesterol,38.10430071818756,2
medical,f_classif,num__systolic_bp,24.827937936897882,3
medical,f_classif,num__physical_activity_hours,15.905510872626794,4
medical,f_classif,num__stress_level,7.707289251067638,5
medical,f_classif,cat__smoking_status_never,7.600032178733024,6
medical,f_classif,cat__smoking_status_former,6.183980095266886,7
medical,f_classif,num__glucose,2.2399713292784558,8
medical,f_classif,num__resting_heart_rate,1.9982202902280293,9
medical,f_classif,num__alcohol_units_weekly,1.8127552789095052,10
medical,f_classif,cat__sex_male,1.6739202621745102,11
medical,f_classif,cat__sex_female,1.6739202621745102,12
medical,f_classif,num__bmi,1.411067948069894,13
medical,f_classif,cat__smoking_status_current,0.6050897539050608,14
medical,f_classif,num__diastolic_bp,0.11896785929204101,15
medical,f_classif,cat__family_history_no,0.08407972972785811,16
medical,f_classif,cat__family_history_yes,0.08407972972774012,17
medical,mutual_info,num__age,0.030102306559107506,1
medical,mutual_info,num__glucose,0.020813857580709083,2
medical,mutual_info,num__diastolic_bp,0.017004234275476815,3
medical,mutual_info,num__cholesterol,0.016071745334113485,4
medical,mutual_info,cat__sex_female,0.014044497069087614,5
medical,mutual_info,cat__smoking_status_current,0.014011019228416632,6
medical,mutual_info,num__systolic_bp,0.013021230877296563,7
medical,mutual_info,num__physical_activity_hours,0.011654687276285713,8
medical,mutual_info,cat__sex_male,0.0049298564540296574,9
medical,mutual_info,num__stress_level,0.002453002420488959,10
medical,mutual_info,num__resting_heart_rate,0.0,11
medical,mutual_info,num__bmi,0.0,12
medical,mutual_info,num__alcohol_units_weekly,0.0,13
medical,mutual_info,cat__smoking_status_former,0.0,14
medical,mutual_info,cat__smoking_status_never,0.0,15
medical,mutual_info,cat__family_history_no,0.0,16
medical,mutual_info,cat__family_history_yes,0.0,17
medical,variance,num__diastolic_bp,1.0000000000000018,1
medical,variance,num__bmi,1.0000000000000016,2
medical,variance,num__age,1.0000000000000013,3
medical,variance,num__cholesterol,1.0000000000000007,4
medical,variance,num__glucose,1.0000000000000007,5
medical,variance,num__systolic_bp,1.0,6
medical,variance,num__physical_activity_hours,0.9999999999999999,7
medical,variance,num__resting_heart_rate,0.999999999999999,8
medical,variance,num__stress_level,0.9999999999999989,9
medical,variance,num__alcohol_units_weekly,0.9999999999999988,10
medical,variance,cat__sex_female,0.24906635802469082,11
medical,variance,cat__sex_male,0.24906635802469082,12
medical,variance,cat__smoking_status_never,0.2441647376543177,13
medical,variance,cat__family_history_no,0.2402758487654332,14
medical,variance,cat__family_history_yes,0.2402758487654332,15
medical,variance,cat__smoking_status_former,0.18036265432098925,16
medical,variance,cat__smoking_status_current,0.15234375,17
